Latest Results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,`Main.Time.Day[1]`,`Main.DancerAngle.deg`,`Main.NR1.w`,`Main.NR1_Velocity.'m/s'[1]`,`Main.NR2.w`,`Main.NR2_Velocity.'m/s'[1]`,`Main.PistonPressure.Pa`,`Main.WS1.vout`,`Main.WS2.v`,`Main.WS1.Tin`,`Main.WS2.T`,`Main.R1.summary_SlipVelocity`,`Main.R2.summary_SlipVelocity`,`Main.R3.summary_SlipVelocity`,`Main.R4.summary_SlipVelocity`,`Main.R5.summary_SlipVelocity`,`Main.R7.summary_SlipVelocity`,`Main.R8.summary_SlipVelocity`,`Main.R9.summary_SlipVelocity`,`Main.R10.summary_SlipVelocity`,`Main.R1.w`,`Main.R2.w`,`Main.R3.w`,`Main.R4.w`,`Main.R5.w`,`Main.R7.w`,`Main.R8.w`,`Main.R9.w`,`Main.R10.w`,`Main.S1.summary_Tension`,`Main.S2.summary_Tension`,`Main.S3.summary_Tension`,`Main.S4.summary_Tension`,`Main.S5.summary_Tension`,`Main.S6.summary_Tension`,`Main.S7.summary_Tension`,`Main.S8.summary_Tension`,`Main.S9.summary_Tension`,`Main.S10.summary_Tension`,`Main.S11.summary_Tension`,`Main.S12.summary_Tension`
71315.65783,0.825412706,1.27443E-13,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,-2.22045E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,-4.44089E-16,-2.22045E-16,-4.44089E-16,-4.44089E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
72612.30615,0.84042021,5.76011E-15,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,1.11022E-16,0,0,0,0,0,0,0,0,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
73908.95448,0.855427714,-3.18451E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,1.11022E-16,1.11022E-16,1.11022E-16,1.11022E-16,1.11022E-16,0,0,0,0,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
75205.6028,0.870435218,3.245E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,-2.22045E-16,-2.22045E-16,0,-2.22045E-16,-2.22045E-16,-4.44089E-16,-4.44089E-16,-4.44089E-16,-4.44089E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
76502.25113,0.885442721,1.06343E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,0,0,0,2.22045E-16,2.22045E-16,-4.44089E-16,-4.44089E-16,-4.44089E-16,-4.44089E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
77798.89945,0.900450225,4.01365E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,0,0,0,0,0,2.22045E-16,2.22045E-16,2.22045E-16,2.22045E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
79095.54777,0.915457729,3.20597E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,-1.11022E-16,-4.44089E-16,-2.22045E-16,-1.11022E-16,-1.11022E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
80392.1961,0.930465233,5.2224E-15,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,0,-2.22045E-16,0,-2.22045E-16,0,0,0,0,0,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
81688.84442,0.945472736,4.12252E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,-1.11022E-16,-1.11022E-16,-3.33067E-16,-5.55112E-16,-3.33067E-16,-4.44089E-16,-4.44089E-16,-4.44089E-16,-4.44089E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
82985.49275,0.96048024,1.48503E-13,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,-2.22045E-16,0,0,2.22045E-16,0,-4.44089E-16,-4.44089E-16,-4.44089E-16,-4.44089E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
84282.14107,0.975487744,2.47813E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,0,0,0,-4.44089E-16,-4.44089E-16,0,0,0,0,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
85578.78939,0.990495248,-5.64249E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,0,0,0,0,0,0,0,2.22045E-16,2.22045E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
86875.43772,1.005502751,1.66175E-16,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,-2.22045E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,0,0,0,0,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
88172.08604,1.020510255,1.14843E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,2.22045E-16,-1.11022E-16,-7.77156E-16,-1.11022E-16,-1.11022E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,-2.22045E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
89468.73437,1.035517759,-1.33439E-14,20.00249938,1.000124969,20,1,325956.2867,1,1,100,100,-1.11022E-16,-1.11022E-16,2.22045E-16,2.22045E-16,2.22045E-16,2.22045E-16,2.22045E-16,2.22045E-16,2.22045E-16,20,20,20,20,20,20.00249938,20.00249938,20.00249938,20.00249938,100,100,100,100,100,100,150,150,150,150,150,100
